,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
5029,Safety Income & Growth Inc,,,,0,EQUITY,2018-07-26T14:00:00.000Z,TAS,SAFE
5030,GNC Holdings Inc,0.2,0.15,33.33,0,EQUITY,2018-07-26T11:00:04.000Z,TAS,GNC
5031,GSI Technology Inc,0.01,-0.04,125.0,0,EQUITY,2018-07-26T20:30:00.000Z,TAS,GSIT
5032,Seattle Genetics Inc,0.47,-0.39,220.51,0,EQUITY,2018-07-26T20:02:00.000Z,TAS,SGEN
5033,Leidos Holdings Inc,1.12,1.06,5.66,0,EQUITY,2018-07-26T10:00:09.000Z,TAS,LDOS
5034,Town Sports International Holdings Inc,0.02,0.04,-50.0,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,CLUB
5035,Patriot Transportation Holding Inc,,,,0,EQUITY,2018-07-26T19:00:00.000Z,TAS,PATI
5036,PROS Holdings Inc,-0.16,-0.2,20.0,0,EQUITY,2018-07-26T20:15:00.000Z,TAS,PRO
5037,Houlihan Lokey Inc,0.55,0.58,-5.17,0,EQUITY,2018-07-26T21:00:00.000Z,TAS,HLI
5038,Universal Health Realty Income Trust,,,,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,UHT
5039,Hilltop Holdings Inc,0.35,0.4,-12.5,0,EQUITY,2018-07-26T21:05:00.000Z,TAS,HTH
5040,Nielsen Holdings PLC,0.2,0.37,-45.95,0,EQUITY,2018-07-26T10:30:00.000Z,TAS,NLSN
5041,RumbleON Inc,-0.36,-0.24,-50.0,0,EQUITY,2018-07-26T14:59:00.000Z,TNS,RMBL
5042,Mobile Mini Inc,0.35,0.35,0.0,0,EQUITY,2018-07-26T10:30:00.000Z,TAS,MINI
5043,MarineMax Inc,0.75,0.79,-5.06,0,EQUITY,2018-07-26T10:45:00.000Z,TAS,HZO
5044,Tempur Sealy International Inc,0.52,0.63,-17.46,0,EQUITY,2018-07-26T11:00:12.000Z,TAS,TPX
5045,LogMeIn Inc,1.32,1.25,5.6,0,EQUITY,2018-07-26T20:08:03.000Z,TAS,LOGM
5046,Roper Technologies Inc,2.89,2.7,7.04,0,EQUITY,2018-07-26T10:55:03.000Z,TAS,ROP
5047,Safeguard Scientifics Inc,-1.21,-1.08,-12.04,0,EQUITY,2018-07-26T13:00:00.000Z,TAS,SFE
5048,PulteGroup Inc,1.12,0.75,49.33,0,EQUITY,2018-07-26T10:30:00.000Z,TAS,PHM
5049,Patrick Industries Inc,1.42,1.22,16.39,0,EQUITY,2018-07-26T16:30:00.000Z,BMO,PATK
5050,Xerium Technologies Inc,,,,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,XRM
5051,Monro Inc,0.62,0.66,-6.06,0,EQUITY,2018-07-26T11:30:02.000Z,TAS,MNRO
5052,Tyler Technologies Inc,1.18,1.13,4.42,0,EQUITY,2018-07-26T20:17:00.000Z,TAS,TYL
5053,Standard Motor Products Inc,0.74,0.79,-6.33,0,EQUITY,2018-07-26T15:00:00.000Z,TAS,SMP
5054,Retrophin Inc,-0.56,-0.35,-60.0,0,EQUITY,2018-07-26T20:30:00.000Z,TAS,RTRX
5055,Invesco Ltd,0.66,0.66,0.0,0,EQUITY,2018-07-26T10:55:00.000Z,TAS,IVZ
5056,LendingTree Inc,1.47,1.27,15.75,0,EQUITY,2018-07-26T11:00:18.000Z,TAS,TREE
5057,Mastercard Inc,1.66,1.53,8.5,0,EQUITY,2018-07-26T12:04:00.000Z,TAS,MA
5058,National Oilwell Varco Inc,0.06,0.02,200.0,0,EQUITY,2018-07-26T22:00:00.000Z,TAS,NOV
5059,Onespan Inc,0.09,0.0,,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,OSPN
5060,Maxim Integrated Products Inc,0.73,0.7,4.29,0,EQUITY,2018-07-26T20:02:05.000Z,TAS,MXIM
5061,Proto Labs Inc,0.73,0.72,1.39,0,EQUITY,2018-07-26T10:00:00.000Z,TAS,PRLB
5062,Martin Marietta Materials Inc,2.92,2.85,2.46,0,EQUITY,2018-07-26T10:48:03.000Z,TAS,MLM
5063,LeMaitre Vascular Inc,0.43,0.42,2.38,0,EQUITY,2018-07-26T21:00:00.000Z,TAS,LMAT
5064,Lawson Products Inc,0.35,0.23,52.17,0,EQUITY,2018-07-26T13:00:00.000Z,TAS,LAWS
5065,Power Integrations Inc,0.74,0.69,7.25,0,EQUITY,2018-07-26T20:02:00.000Z,TAS,POWI
5066,Leggett & Platt Inc,0.63,0.62,1.61,0,EQUITY,2018-07-26T20:07:33.000Z,TAS,LEG
5067,Juniper Networks Inc,0.48,0.44,9.09,0,EQUITY,2018-07-26T20:15:03.000Z,TAS,JNPR
5068,Mitek Systems Inc,0.06,0.03,100.0,0,EQUITY,2018-07-26T20:30:00.000Z,TAS,MITK
5069,Supervalu Inc,-0.17,0.4,-142.5,0,EQUITY,2018-07-26T11:39:00.000Z,TAS,SVU
5070,SkyWest Inc,1.43,1.22,17.21,0,EQUITY,2018-07-26T20:01:08.000Z,TAS,SKYW
5071,JAKKS Pacific Inc,-0.72,-0.49,-46.94,0,EQUITY,2018-07-26T10:00:00.000Z,TAS,JAKK
5072,MicroStrategy Inc,0.42,0.15,180.0,0,EQUITY,2018-07-26T20:01:00.000Z,TAS,MSTR
5073,Innoviva Inc,0.49,0.55,-10.91,0,EQUITY,2018-07-26T20:05:00.000Z,TAS,INVA
5074,Omnicell Inc,0.46,0.39,17.95,0,EQUITY,2018-07-26T20:01:07.000Z,TAS,OMCL
5075,Netscout Systems Inc,0.03,0.01,200.0,0,EQUITY,2018-07-26T11:30:00.000Z,TAS,NTCT
5076,Praxair Inc,,,,0,EQUITY,2018-07-26T10:01:00.000Z,TAS,PX
5077,Imperva Inc,-0.26,-0.33,21.21,0,EQUITY,2018-07-26T20:10:00.000Z,TAS,IMPV
5078,Syntel Inc,0.49,0.44,11.36,0,EQUITY,2018-07-26T10:00:03.000Z,TAS,SYNT
5079,Verisign Inc,1.18,1.14,3.51,0,EQUITY,2018-07-26T20:05:00.000Z,TAS,VRSN
5080,Republic Services Inc,0.73,0.75,-2.67,0,EQUITY,2018-07-26T20:07:05.000Z,TAS,RSG
5081,Newpark Resources Inc,0.12,0.09,33.33,0,EQUITY,2018-07-26T20:15:15.000Z,TAS,NR
5082,VivoPower International PLC,,,,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,VVPR
5083,West Pharmaceutical Services Inc,0.7,0.67,4.48,0,EQUITY,2018-07-26T10:00:13.000Z,TAS,WST
5084,Mercer International Inc,0.26,0.34,-23.53,0,EQUITY,2018-07-26T20:30:03.000Z,TAS,MERC
5085,Mettler-Toledo International Inc,4.65,4.58,1.53,0,EQUITY,2018-07-26T20:05:04.000Z,TAS,MTD
5086,Socket Mobile Inc,,,,0,EQUITY,2018-07-26T21:00:00.000Z,TAS,SCKT
5087,Proofpoint Inc,0.26,0.17,52.94,0,EQUITY,2018-07-26T20:05:08.000Z,TAS,PFPT
5088,Lazard Ltd,1.1,0.92,19.57,0,EQUITY,2018-07-26T10:49:00.000Z,TAS,LAZ
5089,Navios Maritime Midstream Partners LP,0.21,0.23,-8.7,0,EQUITY,2018-07-26T14:59:00.000Z,TNS,NAP
5090,MPLX LP,0.55,0.56,-1.79,0,EQUITY,2018-07-26T11:33:13.000Z,TAS,MPLX
5091,Silicom Ltd,0.44,0.38,15.79,0,EQUITY,2018-07-26T16:30:00.000Z,BMO,SILC
5092,Novocure Ltd,-0.17,-0.16,-6.25,0,EQUITY,2018-07-26T10:00:00.000Z,TAS,NVCR
5093,Majesco,,,,0,EQUITY,2018-07-26T20:30:00.000Z,TAS,MJCO
5094,NXP Semiconductors NV,1.5,1.65,-9.09,0,EQUITY,2018-07-27T00:00:00.000Z,AMC,NXPI
5095,Yandex NV,0.23,0.23,0.0,0,EQUITY,2018-07-26T14:59:00.000Z,TNS,YNDX
5096,Spotify Technology SA,-2.52,-0.78,-223.08,0,EQUITY,2018-07-26T16:30:00.000Z,BMO,SPOT
5097,Phillips 66,2.8,2.19,27.85,0,EQUITY,2018-07-27T11:00:00.000Z,TAS,PSX
5098,Phillips 66 Partners LP,0.94,0.86,9.3,0,EQUITY,2018-07-27T11:10:00.000Z,TAS,PSXP
5099,AbbVie Inc,2.0,1.97,1.52,0,EQUITY,2018-07-27T11:38:04.000Z,TAS,ABBV
5100,Village Bank and Trust Financial Corp,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,VBFC
5101,Abaxis Inc,,,,0,EQUITY,2018-07-28T00:00:00.000Z,AMC,ABAX
5102,Parkway Acquisition Corp,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,PKKW
5103,Autoliv Inc,2.22,1.77,25.42,0,EQUITY,2018-07-27T10:00:00.000Z,TAS,ALV
5104,Ameris Bancorp,0.74,0.83,-10.84,0,EQUITY,2018-07-27T11:00:14.000Z,TAS,ABCB
5105,Aon PLC,1.71,1.64,4.27,0,EQUITY,2018-07-27T10:00:14.000Z,TAS,AON
5106,Sonic Automotive Inc,0.35,0.34,2.94,0,EQUITY,2018-07-27T11:30:00.000Z,TAS,SAH
5107,Community Investors Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,CIBN
5108,Solera National Bancorp Inc,,,,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,SLRK
5109,Sound Financial Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,SFBC
5110,Mid Penn Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,MPB
5111,Byline Bancorp Inc,0.32,0.28,14.29,0,EQUITY,2018-07-27T14:00:00.000Z,TAS,BY
5112,Hawthorn Bancshares Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,HWBK
5113,BNCCorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,BNCC
5114,Luther Burbank Corp,0.2,0.2,0.0,0,EQUITY,2018-07-27T17:00:00.000Z,TAS,LBC
5115,Civista Bancshares Inc,0.44,0.4,10.0,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,CIVB
5116,Civista Bancshares Inc,0.44,0.4,10.0,0,EQUITY,2018-07-27T17:00:00.000Z,TAS,CIVB
5117,People's Utah Bancorp,0.55,0.53,3.77,0,EQUITY,2018-07-27T16:00:00.000Z,TAS,PUB
5118,ESSA Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,ESSA
5119,Barnes Group Inc,0.9,0.75,20.0,0,EQUITY,2018-07-27T10:30:00.000Z,TAS,B
5120,BG Staffing Inc,0.54,0.3,80.0,0,EQUITY,2018-07-27T20:30:00.000Z,TAS,BGSF
5121,Severn Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,SVBI
5122,Southside Bancshares Inc,0.57,0.59,-3.39,0,EQUITY,2018-07-27T10:30:03.000Z,TAS,SBSI
5123,Citizens Community Bancorp Inc,0.08,0.27,-70.37,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,CZWI
5124,Community West Bancshares,,,,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,CWBC
5125,Pathfinder Bancorp Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,PBHC
5126,National Bankshares Inc,0.62,0.66,-6.06,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,NKSH
5127,Zimmer Biomet Holdings Inc,1.92,1.88,2.13,0,EQUITY,2018-07-27T10:00:00.000Z,TAS,ZBH
5128,Prudential Bancorp Inc,,,,0,EQUITY,2018-07-28T00:00:00.000Z,AMC,PBIP
5129,McClatchy Co,-0.72,-1.36,47.06,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,MNI
5130,Civeo Corp,-0.29,-0.07,-314.29,0,EQUITY,2018-07-27T15:00:00.000Z,TAS,CVEO
5131,Piper Jaffray Companies,0.92,1.04,-11.54,0,EQUITY,2018-07-27T12:00:00.000Z,TAS,PJC
5132,Kansas City Life Insurance Co,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,KCLI
5133,Gorman-Rupp Co,0.46,0.38,21.05,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,GRC
5134,Merck & Co Inc,1.06,1.03,2.91,0,EQUITY,2018-07-27T10:45:00.000Z,TAS,MRK
5135,Rockwell Collins Inc,1.73,1.84,-5.98,0,EQUITY,2018-07-27T10:30:00.000Z,TAS,COL
5136,Exxon Mobil Corp,0.92,1.27,-27.56,0,EQUITY,2018-07-27T12:00:00.000Z,TAS,XOM
5137,Comfort Systems USA Inc,0.79,0.69,14.49,0,EQUITY,2018-07-27T15:00:00.000Z,TAS,FIX
5138,Diana Containerships Inc,,,,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,DCIX
5139,Old Point Financial Corp,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,OPOF
5140,Peapack-Gladstone Financial Corp,0.62,0.6,3.33,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,PGC
5141,Weyerhaeuser Co,0.44,0.43,2.33,0,EQUITY,2018-07-27T07:05:05.000Z,TAS,WY
5142,Portland General Electric Co,0.51,0.41,24.39,0,EQUITY,2018-07-27T09:00:00.000Z,TAS,POR
5143,Goodyear Tire & Rubber Co,0.62,0.61,1.64,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,GT
5144,Colgate-Palmolive Co,0.77,0.77,0.0,0,EQUITY,2018-07-27T10:55:00.000Z,TAS,CL
5145,Capstar Financial Holdings Inc,0.29,0.29,0.0,0,EQUITY,2018-07-27T14:00:00.000Z,TAS,CSTR
5146,Mackinac Financial Corp,0.25,0.3,-16.67,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,MFNC
5147,Gravity Co Ltd,,,,0,EQUITY,2018-07-28T00:00:00.000Z,AMC,GRVY
5148,Orchid Island Capital Inc,0.03,0.35,-91.43,0,EQUITY,2018-07-27T14:00:00.000Z,TAS,ORC
5149,Moody's Corp,2.04,1.89,7.94,0,EQUITY,2018-07-27T11:00:00.000Z,TAS,MCO
5150,TCF Financial Corp,0.34,0.46,-26.09,0,EQUITY,2018-07-27T12:00:01.000Z,TAS,TCF
5151,Cabot Oil & Gas Corp,0.13,0.19,-31.58,0,EQUITY,2018-07-27T10:30:03.000Z,TAS,COG
5152,Chevron Corp,1.78,2.09,-14.83,0,EQUITY,2018-07-27T12:30:00.000Z,TAS,CVX
5153,Vista Gold Corp,,,,0,EQUITY,2018-07-27T16:00:00.000Z,TAS,VGZ
5154,Capital Product Partners LP,0.07,0.27,-74.07,0,EQUITY,2018-07-27T09:30:00.000Z,BMO,CPLP
5155,Dynagas LNG Partners LP,0.08,0.01,700.0,0,EQUITY,2018-07-27T11:30:02.000Z,TAS,DLNG
5156,Encision Inc,,,,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,ECIA
5157,Waterstone Financial Inc,0.34,0.32,6.25,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,WSBF
5158,Forrester Research Inc,0.53,0.38,39.47,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,FORR
5159,Provident Financial Services Inc,0.3,0.4,-25.0,0,EQUITY,2018-07-27T12:00:05.000Z,TAS,PFS
5160,First Financial Northwest Inc,0.3,0.28,7.14,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,FFNW
5161,Franklin Resources Inc,0.75,0.75,0.0,0,EQUITY,2018-07-27T12:30:05.000Z,TAS,BEN
5162,Synchrony Financial,0.92,0.82,12.2,0,EQUITY,2018-07-27T10:30:00.000Z,TAS,SYF
5163,Virtu Financial Inc,0.31,0.38,-18.42,0,EQUITY,2018-07-27T16:30:00.000Z,BMO,VIRT
5164,Northway Financial Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,NWYF
5165,Genesee & Wyoming Inc,0.94,0.92,2.17,0,EQUITY,2018-07-27T10:00:00.000Z,TAS,GWR
5166,TRI Pointe Group Inc,0.42,0.36,16.67,0,EQUITY,2018-07-27T10:00:03.000Z,TAS,TPH
5167,Oppenheimer Holdings Inc,0.63,0.47,34.04,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,OPY
5168,Validus Holdings Ltd,,,,0,EQUITY,2018-07-28T00:00:00.000Z,AMC,VR
5169,LifePoint Health Inc,1.27,1.08,17.59,0,EQUITY,2018-07-27T11:00:00.000Z,TAS,LPNT
5170,Hill-Rom Holdings Inc,1.15,1.13,1.77,0,EQUITY,2018-07-27T10:30:04.000Z,TAS,HRC
5171,Magellan Health Inc,0.92,1.23,-25.2,0,EQUITY,2018-07-27T10:30:00.000Z,TAS,MGLN
5172,Hess Midstream Partners LP,0.32,0.3,6.67,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,HESM
5173,Universal Logistics Holdings Inc,0.62,0.38,63.16,0,EQUITY,2018-07-27T14:00:00.000Z,TAS,ULH
5174,ImmunoGen Inc,-0.31,-0.29,-6.9,0,EQUITY,2018-07-27T10:30:00.000Z,TAS,IMGN
5175,Industrial Logistics Properties Trust,0.29,0.31,-6.45,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,ILPT
5176,Virtus Investment Partners Inc,2.97,3.02,-1.66,0,EQUITY,2018-07-27T11:30:09.000Z,TAS,VRTS
5177,Kalvista Pharmaceuticals Inc,-0.06,-0.35,82.86,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,KALV
5178,Tenneco Inc,1.92,1.96,-2.04,0,EQUITY,2018-07-27T11:30:00.000Z,TAS,TEN
5179,Wisdom Tree Investments Inc,0.09,0.09,0.0,0,EQUITY,2018-07-27T11:00:00.000Z,TAS,WETF
5180,Iron Mountain Inc,0.3,0.25,20.0,0,EQUITY,2018-07-27T10:00:00.000Z,TAS,IRM
5181,Welltower Inc,0.41,0.43,-4.65,0,EQUITY,2018-07-27T10:00:11.000Z,TAS,WELL
5182,USA Truck Inc,0.31,0.28,10.71,0,EQUITY,2018-07-27T13:00:00.000Z,TAS,USAK
5183,Value Line Inc,,,,0,EQUITY,2018-07-27T14:59:00.000Z,TNS,VALU
5184,Twitter Inc,0.17,0.17,0.0,0,EQUITY,2018-07-27T10:57:26.000Z,TAS,TWTR
5185,Veoneer Inc,-0.72,-0.55,-30.91,0,EQUITY,2018-07-27T09:00:00.000Z,TAS,VNE
5186,Ventas Inc,0.46,0.37,24.32,0,EQUITY,2018-07-27T11:18:00.000Z,TAS,VTR
5187,Booz Allen Hamilton Holding Corp,0.72,0.58,24.14,0,EQUITY,2018-07-30T10:45:00.000Z,TAS,BAH
5188,Amkor Technology Inc,0.14,0.05,180.0,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,AMKR
5189,Rent-A-Center Inc,0.47,0.24,95.83,0,EQUITY,2018-07-30T20:30:00.000Z,TAS,RCII
5190,Allison Transmission Holdings Inc,1.29,1.0,29.0,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,ALSN
5191,Preferred Apartment Communities Inc,-0.66,-0.65,-1.54,0,EQUITY,2018-07-30T20:27:10.000Z,TAS,APTS
5192,Alexandria Real Estate Equities Inc,0.51,0.53,-3.77,0,EQUITY,2018-07-30T20:10:05.000Z,TAS,ARE
5193,AppFolio Inc,0.21,0.19,10.53,0,EQUITY,2018-07-30T20:10:03.000Z,TAS,APPF
5194,AK Steel Holding Corp,0.18,0.2,-10.0,0,EQUITY,2018-07-30T20:45:02.000Z,TAS,AKS
5195,Atento SA,0.2,0.18,11.11,0,EQUITY,2018-07-30T20:29:12.000Z,TAS,ATTO
5196,AerCap Holdings NV,1.7,1.47,15.65,0,EQUITY,2018-07-30T11:00:00.000Z,TAS,AER
5197,Alexander's Inc,,,,0,EQUITY,2018-07-30T12:58:10.000Z,TAS,ALX
5198,Advanced Energy Industries Inc,1.25,1.35,-7.41,0,EQUITY,2018-07-30T20:10:04.000Z,TAS,AEIS
5199,Kayne Anderson MLP/Midstream Investment Co,,,,0,EQUITY,2018-07-30T14:59:00.000Z,TNS,KYN
5200,Affiliated Managers Group Inc,3.61,3.59,0.56,0,EQUITY,2018-07-30T11:50:50.000Z,TAS,AMG
5201,athenahealth Inc,1.08,0.92,17.39,0,EQUITY,2018-07-30T20:01:04.000Z,TAS,ATHN
5202,German American Bancorp Inc,0.48,0.49,-2.04,0,EQUITY,2018-07-30T21:00:02.000Z,TAS,GABC
5203,Acadia Healthcare Company Inc,0.7,0.7,0.0,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,ACHC
5204,AvalonBay Communities Inc,1.84,1.06,73.58,0,EQUITY,2018-07-30T20:15:00.000Z,TAS,AVB
5205,Alliance Resource Partners LP,0.64,0.64,0.0,0,EQUITY,2018-07-30T11:00:00.000Z,TAS,ARLP
5206,Alimera Sciences Inc,-0.06,-0.06,0.0,0,EQUITY,2018-07-30T20:30:05.000Z,TAS,ALIM
5207,Brixmor Property Group Inc,0.26,0.2,30.0,0,EQUITY,2018-07-30T20:05:07.000Z,TAS,BRX
5208,BankFinancial Corp,0.26,0.25,4.0,0,EQUITY,2018-07-30T21:18:17.000Z,TAS,BFIN
5209,BMC Stock Holdings Inc,0.64,0.45,42.22,0,EQUITY,2018-07-30T10:05:02.000Z,TAS,BMCH
5210,Sterling Bancorp Inc,0.3,0.29,3.45,0,EQUITY,2018-07-31T00:00:00.000Z,AMC,SBT
5211,Bloomin' Brands Inc,0.38,0.29,31.03,0,EQUITY,2018-07-30T11:00:05.000Z,TAS,BLMN
5212,Northrim BanCorp Inc,0.84,0.62,35.48,0,EQUITY,2018-07-30T20:15:06.000Z,TAS,NRIM
5213,Blackbaud Inc,0.69,0.67,2.99,0,EQUITY,2018-07-30T20:15:08.000Z,TAS,BLKB
5214,Black Knight Inc,0.46,0.44,4.55,0,EQUITY,2018-07-30T20:05:14.000Z,TAS,BKI
5215,CNA Financial Corp,0.99,0.98,1.02,0,EQUITY,2018-07-30T10:00:10.000Z,TAS,CNA
5216,J & J Snack Foods Corp,1.39,1.51,-7.95,0,EQUITY,2018-07-30T20:00:00.000Z,TAS,JJSF
5217,Kemper Corp,0.7,0.66,6.06,0,EQUITY,2018-07-30T16:44:00.000Z,TAS,KMPR
5218,Range Resources Corp,0.2,0.11,81.82,0,EQUITY,2018-07-30T21:00:05.000Z,TAS,RRC
5219,KLA-Tencor Corp,2.22,2.14,3.74,0,EQUITY,2018-07-30T20:15:03.000Z,TAS,KLAC
5220,Stifel Financial Corp,1.22,1.15,6.09,0,EQUITY,2018-07-30T20:01:07.000Z,TAS,SF
5221,Care.com Inc,0.14,0.11,27.27,0,EQUITY,2018-07-30T10:00:00.000Z,TAS,CRCM
5222,Seaspine Holdings Corp,-0.5,-0.48,-4.17,0,EQUITY,2018-07-31T00:00:00.000Z,AMC,SPNE
5223,ON Semiconductor Corp,0.46,0.45,2.22,0,EQUITY,2018-07-30T16:30:00.000Z,BMO,ON
5224,SBA Communications Corp,-0.5,0.18,-377.78,0,EQUITY,2018-07-30T20:01:00.000Z,TAS,SBAC
5225,SunPower Corp,-0.01,-0.29,96.55,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,SPWR
5226,Changyou.Com Ltd,0.52,0.45,15.56,0,EQUITY,2018-07-30T06:30:05.000Z,TAS,CYOU
5227,Service Corporation International,0.44,0.43,2.33,0,EQUITY,2018-07-30T20:15:07.000Z,TAS,SCI
5228,MagnaChip Semiconductor Corp,0.23,0.16,43.75,0,EQUITY,2018-07-30T20:05:05.000Z,TAS,MX
5229,Loews Corp,0.76,0.73,4.11,0,EQUITY,2018-07-30T16:30:00.000Z,BMO,L
5230,Elevate Credit Inc,0.07,0.04,75.0,0,EQUITY,2018-07-30T21:00:00.000Z,TAS,ELVT
5231,Mercury General Corp,0.88,0.53,66.04,0,EQUITY,2018-07-30T12:30:07.000Z,TAS,MCY
5232,Rexnord Corp,0.41,0.36,13.89,0,EQUITY,2018-07-30T20:20:00.000Z,TAS,RXN
5233,Chegg Inc,0.12,0.08,50.0,0,EQUITY,2018-07-30T20:30:00.000Z,TAS,CHGG
5234,Cardiovascular Systems Inc,0.11,0.06,83.33,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,CSII
5235,Castlight Health Inc,-0.05,-0.05,0.0,0,EQUITY,2018-07-30T20:20:03.000Z,TAS,CSLT
5236,Caterpillar Inc,2.97,2.73,8.79,0,EQUITY,2018-07-30T11:30:00.000Z,TAS,CAT
5237,Potlatchdeltic Corp,0.75,0.69,8.7,0,EQUITY,2018-07-30T22:30:03.000Z,TAS,PCH
5238,Trex Company Inc,0.73,0.65,12.31,0,EQUITY,2018-07-30T20:01:00.000Z,TAS,TREX
5239,Quaker Chemical Corp,1.56,1.43,9.09,0,EQUITY,2018-07-30T20:20:04.000Z,TAS,KWR
5240,Quantenna Communications Inc,0.12,0.08,50.0,0,EQUITY,2018-07-30T20:05:08.000Z,TAS,QTNA
5241,Simpson Manufacturing Co Inc,0.94,0.73,28.77,0,EQUITY,2018-07-30T20:15:00.000Z,TAS,SSD
5242,Gladstone Commercial Corp,-0.01,0.0,,0,EQUITY,2018-07-30T20:08:02.000Z,TAS,GOOD
5243,Equity Commonwealth,,,,0,EQUITY,2018-07-31T00:00:00.000Z,AMC,EQC
5244,Taubman Centers Inc,0.25,0.22,13.64,0,EQUITY,2018-07-30T20:15:00.000Z,TAS,TCO
5245,TFS Financial Corp,0.07,0.09,-22.22,0,EQUITY,2018-07-30T20:00:00.000Z,TAS,TFSL
5246,US Foods Holding Corp,0.57,0.58,-1.72,0,EQUITY,2018-07-30T10:45:00.000Z,TAS,USFD
5247,First of Long Island Corp,0.4,0.45,-11.11,0,EQUITY,2018-07-30T14:59:00.000Z,TNS,FLIC
5248,Sanmina Corp,0.55,0.57,-3.51,0,EQUITY,2018-07-30T20:02:03.000Z,TAS,SANM
5249,Tandem Diabetes Care Inc,-1.17,-0.35,-234.29,0,EQUITY,2018-07-30T20:05:00.000Z,TAS,TNDM
5250,Kearny Financial Corp,0.12,0.09,33.33,0,EQUITY,2018-07-31T00:00:00.000Z,AMC,KRNY
5251,Cognex Corp,0.32,0.3,6.67,0,EQUITY,2018-07-30T20:06:00.000Z,TAS,CGNX
5252,South State Corp,1.43,1.5,-4.67,0,EQUITY,2018-07-30T20:15:00.000Z,TAS,SSB
5253,Donegal Group Inc,-0.02,0.07,-128.57,0,EQUITY,2018-07-30T20:00:05.000Z,TAS,DGICA
5254,DSP Group Inc,0.07,0.02,250.0,0,EQUITY,2018-07-30T16:30:00.000Z,BMO,DSPG
5255,Diamond Offshore Drilling Inc,-0.33,-0.39,15.38,0,EQUITY,2018-07-30T16:30:00.000Z,BMO,DO
5256,GenMark Diagnostics Inc,-0.3,-0.22,-36.36,0,EQUITY,2018-07-30T20:05:02.000Z,TAS,GNMK
5257,Eagle Materials Inc,1.38,1.56,-11.54,0,EQUITY,2018-07-30T10:30:00.000Z,TAS,EXP
5258,Everest Re Group Ltd,0.98,0.97,1.03,0,EQUITY,2018-07-30T20:15:00.000Z,TAS,RE
5259,Forum Energy Technologies Inc,-0.01,-0.01,0.0,0,EQUITY,2018-07-30T21:00:00.000Z,TAS,FET
5260,EPR Properties,1.15,1.36,-15.44,0,EQUITY,2018-07-30T20:00:00.000Z,TAS,EPR
5261,First Foundation Inc,0.12,0.28,-57.14,0,EQUITY,2018-07-30T15:00:00.000Z,TAS,FFWM
5262,Origen Financial Inc,,,,0,EQUITY,2018-07-30T14:59:00.000Z,TNS,ORGN
5263,Origen Financial Inc,,,,0,EQUITY,2018-07-30T14:59:00.000Z,TNS,ORGN
5264,Origen Financial Inc,,,,0,EQUITY,2018-07-30T14:59:00.000Z,TNS,ORGN
5265,Provident Financial Holdings Inc,0.18,0.29,-37.93,0,EQUITY,2018-07-30T10:00:06.000Z,TAS,PROV
