,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
17698,Texas Capital Bancshares Inc,,,,0,EQUITY,2019-04-17T20:00:00.000Z,TAS,TCBIP
17699,Community Trust Bancorp Inc,0.84,0.82,2.44,0,EQUITY,2019-04-17T13:07:00.000Z,TAS,CTBI
17700,Central Valley Community Bancorp,0.38,0.38,0.0,0,EQUITY,2019-04-18T00:00:00.000Z,AMC,CVCY
17701,Westbury Bancorp Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,WBBW
17702,Bancorpsouth Bank,0.52,0.55,-5.45,0,EQUITY,2019-04-17T20:30:09.000Z,TAS,BXS
17703,Bank of New York Mellon Corp,0.94,0.96,-2.08,0,EQUITY,2019-04-17T10:30:04.000Z,TAS,BK
17704,Boston Private Financial Holdings Inc,0.27,0.21,28.57,0,EQUITY,2019-04-17T20:15:01.000Z,TAS,BPFH
17705,U.S. Bancorp,1.0,1.0,0.0,0,EQUITY,2019-04-17T10:45:00.000Z,TAS,USB
17706,Preferred Bank,1.23,1.22,0.82,0,EQUITY,2019-04-17T20:38:57.000Z,TAS,PFBC
17707,Texas Capital Bancshares Inc,1.6,1.35,18.52,0,EQUITY,2019-04-17T20:00:00.000Z,TAS,TCBI
17708,First Bancorp Inc,,,,0,EQUITY,2019-04-18T00:00:00.000Z,AMC,FNLC
17709,Union Bankshares Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,UNB
17710,Signature Bank,2.65,2.77,-4.33,0,EQUITY,2019-04-17T09:00:00.000Z,TAS,SBNY
17711,Great Southern Bancorp Inc,1.23,1.07,14.95,0,EQUITY,2019-04-18T00:00:00.000Z,AMC,GSBC
17712,United Security Bancshares,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,UBFO
17713,Las Vegas Sands Corp,0.91,0.87,4.6,0,EQUITY,2019-04-17T20:05:05.000Z,TAS,LVS
17714,Consolidated-Tomoka Land Co,1.21,1.25,-3.2,0,EQUITY,2019-04-17T13:00:00.000Z,TAS,CTO
17715,SLM Corp,,,,0,EQUITY,2019-04-17T20:30:00.000Z,TAS,SLMBP
17716,Harleysville Financial Corp,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,HARL
17717,Primeenergy Resources Corp,,,,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,PNRG
17718,First Community Corp,0.32,0.34,-5.88,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,FCCO
17719,Winmark Corp,,,,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,WINA
17720,TriState Capital Holdings Inc,,,,0,EQUITY,2019-04-17T20:15:00.000Z,TAS,TSCBP
17721,PolyOne Corp,0.64,0.65,-1.54,0,EQUITY,2019-04-17T10:33:25.000Z,TAS,POL
17722,E*TRADE Financial Corp,1.09,0.93,17.2,0,EQUITY,2019-04-17T20:05:00.000Z,TAS,ETFC
17723,Plexus Corp,0.79,0.84,-5.95,0,EQUITY,2019-04-17T20:16:03.000Z,TAS,PLXS
17724,RLI Corp,0.71,0.6,18.33,0,EQUITY,2019-04-18T00:00:00.000Z,AMC,RLI
17725,Umpqua Holdings Corp,0.34,0.37,-8.11,0,EQUITY,2019-04-17T20:15:07.000Z,TAS,UMPQ
17726,United Community Financial Corp,0.18,0.19,-5.26,0,EQUITY,2019-04-17T14:00:00.000Z,TAS,UCFC
17727,Crown Holdings Inc,1.05,1.05,0.0,0,EQUITY,2019-04-17T21:04:10.000Z,TAS,CCK
17728,SL Green Realty Corp,0.52,0.42,23.81,0,EQUITY,2019-04-17T20:06:00.000Z,TAS,SLG
17729,SLM Corp,0.34,0.3,13.33,0,EQUITY,2019-04-17T20:30:00.000Z,TAS,SLM
17730,Hooker Furniture Corp,1.24,1.05,18.1,0,EQUITY,2019-04-17T18:00:00.000Z,TAS,HOFT
17731,Chemung Financial Corp,0.92,0.96,-4.17,0,EQUITY,2019-04-18T00:00:00.000Z,AMC,CHMG
17732,Sleep Number Corp,0.8,0.73,9.59,0,EQUITY,2019-04-17T20:05:00.000Z,TAS,SNBR
17733,Logansport Financial Corp,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,LOGN
17734,Capstone Turbine Corp,-0.6,-0.47,-27.66,0,EQUITY,2019-04-17T12:31:08.000Z,TAS,CPST
17735,Crown Castle International Corp,0.44,0.4,10.0,0,EQUITY,2019-04-17T20:15:37.000Z,TAS,CCI
17736,City Holding Co,1.3,1.22,6.56,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,CHCO
17737,Cohen & Steers Inc,0.58,0.57,1.75,0,EQUITY,2019-04-17T20:26:16.000Z,TAS,CNS
17738,ChineseInvestors.com Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,CIIX
17739,Kansas City Southern,1.54,1.44,6.94,0,EQUITY,2019-04-17T12:00:00.000Z,TAS,KSU
17740,Eltek Ltd,,,,0,EQUITY,2019-04-17T11:30:07.000Z,TAS,ELTK
17741,Edison Nation Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,EDNT
17742,Eagle Financial Services Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,EFSI
17743,Veritas Farms Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,VFRM
17744,Globe Life Inc,1.64,1.59,3.14,0,EQUITY,2019-04-17T20:10:04.000Z,TAS,GL
17745,Marimed Inc,,,,0,EQUITY,2019-04-17T12:31:07.000Z,TAS,MRMD
17746,Textron Inc,0.76,0.68,11.76,0,EQUITY,2019-04-17T10:30:00.000Z,TAS,TXT
17747,Kinder Morgan Inc,0.25,0.24,4.17,0,EQUITY,2019-04-17T20:05:00.000Z,TAS,KMI
17748,Limelight Networks Inc,-0.04,0.0,,0,EQUITY,2019-04-17T20:00:00.000Z,TAS,LLNW
17749,Medicine Man Technologies Inc,,,,0,EQUITY,2019-04-17T14:59:00.000Z,TNS,MDCL
17750,United Rentals Inc,3.31,3.03,9.24,0,EQUITY,2019-04-17T20:15:00.000Z,TAS,URI
17751,PepsiCo Inc,0.97,0.92,5.43,0,EQUITY,2019-04-17T10:11:23.000Z,TAS,PEP
17752,Pzena Investment Management Inc,0.17,0.15,13.33,0,EQUITY,2019-04-17T20:17:45.000Z,TAS,PZN
17753,MicroVision Inc,-0.08,-0.08,0.0,0,EQUITY,2019-04-17T16:30:00.000Z,BMO,MVIS
17754,Morgan Stanley,1.39,1.16,19.83,0,EQUITY,2019-04-17T11:00:00.000Z,TAS,MS
17755,Pentair plc,0.43,0.44,-2.27,0,EQUITY,2019-04-17T11:00:00.000Z,TAS,PNR
17756,1st Source Corp,0.86,0.85,1.18,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,SRCE
17757,12 Retech Corp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,RETC
17758,Altigen Communications Inc,,,,0,EQUITY,2019-04-18T21:00:00.000Z,TAS,ATGN
17759,Acme United Corp,0.24,0.2,20.0,0,EQUITY,2019-04-18T16:00:00.000Z,TAS,ACU
17760,American Express Co,2.01,1.98,1.52,0,EQUITY,2019-04-18T11:30:00.000Z,TAS,AXP
17761,American River Bankshares,0.2,0.23,-13.04,0,EQUITY,2019-04-18T20:30:00.000Z,TAS,AMRB
17762,Ally Financial Inc,0.8,0.78,2.56,0,EQUITY,2019-04-18T11:30:00.000Z,TAS,ALLY
17763,American National Bankshares Inc,0.69,0.65,6.15,0,EQUITY,2019-04-18T20:05:55.000Z,TAS,AMNB
17764,American Bio Medica Corp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,ABMC
17765,AMCON Distributing Co,,,,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,DIT
17766,Solera National Bancorp Inc,,,,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,SLRK
17767,BB&T Corp,0.97,1.03,-5.83,0,EQUITY,2019-04-18T09:45:26.000Z,TAS,BBT
17768,BCB Bancorp Inc,0.32,0.3,6.67,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,BCBP
17769,Bryn Mawr Bank Corp,0.7,0.76,-7.89,0,EQUITY,2019-04-18T12:31:13.000Z,TAS,BMTC
17770,Oak Valley Bancorp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,OVLY
17771,Codorus Valley Bancorp Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,CVLY
17772,SunTrust Banks Inc,1.24,1.3,-4.62,0,EQUITY,2019-04-18T10:00:06.000Z,TAS,STI
17773,Enterprise Bancorp Inc,,,,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,EBTC
17774,Grandsouth Bancorp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,GRRB
17775,Consumers Bancorp Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,CBKM
17776,Colony Bankcorp Inc,,,,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,CBAN
17777,Two River Bancorp,0.32,0.31,3.23,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,TRCB
17778,County Bancorp Inc,0.54,0.51,5.88,0,EQUITY,2019-04-18T18:30:00.000Z,TAS,ICBK
17779,HarborOne Bancorp Inc,0.04,0.06,-33.33,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,HONE
17780,Glacier Bancorp Inc,0.58,0.58,0.0,0,EQUITY,2019-04-18T20:30:31.000Z,TAS,GBCI
17781,East West Bancorp Inc,1.12,1.22,-8.2,0,EQUITY,2019-04-18T12:00:02.000Z,TAS,EWBC
17782,Seacoast Commerce Banc Holdings,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,SCBH
17783,Unity Bancorp Inc,0.52,0.49,6.12,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,UNTY
17784,PROVIDENT BANCORP INC,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,PVBC
17785,Home BancShares Inc,0.42,0.42,0.0,0,EQUITY,2019-04-18T12:15:17.000Z,TAS,HOMB
17786,Blackstone Group Inc,0.44,0.51,-13.73,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,BX
17787,First Financial Bankshares Inc,0.28,0.28,0.0,0,EQUITY,2019-04-18T20:05:05.000Z,TAS,FFIN
17788,Sandy Spring Bancorp Inc,0.85,0.74,14.86,0,EQUITY,2019-04-18T11:00:37.000Z,TAS,SASR
17789,Guaranty Federal Bancshares Inc,0.49,0.51,-3.92,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,GFED
17790,Bar Harbor Bankshares,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,BHB
17791,BancFirst Corp,0.96,0.92,4.35,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,BANF
17792,OFG Bancorp,0.42,0.39,7.69,0,EQUITY,2019-04-18T11:30:00.000Z,TAS,OFG
17793,Shore Bancshares Inc,0.3,0.32,-6.25,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,SHBI
17794,Farmers National Banc Corp,0.3,0.29,3.45,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,FMNB
17795,Westamerica Bancorp,0.73,0.72,1.39,0,EQUITY,2019-04-18T14:58:51.000Z,TAS,WABC
17796,National Bankshares Inc,0.65,0.59,10.17,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,NKSH
17797,S&T Bancorp Inc,0.66,0.74,-10.81,0,EQUITY,2019-04-18T11:30:09.000Z,TAS,STBA
17798,Great Southern Bancorp Inc,1.23,1.07,14.95,0,EQUITY,2019-04-18T19:00:00.000Z,TAS,GSBC
17799,Independent Bank Corp (Massachusetts),1.25,1.29,-3.1,0,EQUITY,2019-04-18T20:10:00.000Z,TAS,INDB
17800,Regions Financial Corp,0.37,0.37,0.0,0,EQUITY,2019-04-18T10:00:00.000Z,TAS,RF
17801,Consumer Portfolio Services Inc,0.07,0.16,-56.25,0,EQUITY,2019-04-18T20:01:27.000Z,TAS,CPSS
17802,Genuine Parts Co,1.28,1.3,-1.54,0,EQUITY,2019-04-18T12:32:58.000Z,TAS,GPC
17803,LICT Corp,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,LICT
